Unofficial Name,Name,Actual Precedence,Precedence[ ],Precedence[ ] Corrected,WolframLanguageData[ ],WolframLanguageData[ ] Corrected,UnicodeCharacters.tr,UnicodeCharacters.tr Corrected,N Tokens,L Tokens,O Tokens,Usage,Parse,FullForm,Arity,Affix,Associativity,Meaningful,Comments
UnionPlus,UnionPlus,380,300,300,,48,410,410,{},"{""⊎""}",{},"{{""x"", ""⊎"", ""y""}}","{""UnionPlus"", ""["", ""x"", "","", ""y"", ""]""}","UnionPlus[x, y]",Binary,Infix,None,False,
DirectedEdge,DirectedEdge,370,295,295,,49.0,395,395,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""DirectedEdge"", ""["", ""expr1"", "","", ""expr2"", ""]""}","DirectedEdge[expr1, expr2]",Binary,Infix,None,True,
UndirectedEdge,UndirectedEdge,370,295,295,,49.0,395,395,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""UndirectedEdge"", ""["", ""expr1"", "","", ""expr2"", ""]""}","UndirectedEdge[expr1, expr2]",Binary,Infix,None,True,
Congruent,Congruent,360,290,290,,50.0,390,390,{},"{""≡""}",{},"{{""x"", ""≡"", ""y""}}","{""Congruent"", ""["", ""x"", "","", ""y"", ""]""}","Congruent[x, y]",Binary,Infix,None,False,
CupCap,CupCap,360,290,290,,50.0,390,390,{},"{""≍""}",{},"{{""x"", ""≍"", ""y""}}","{""CupCap"", ""["", ""x"", "","", ""y"", ""]""}","CupCap[x, y]",Binary,Infix,None,False,
DotEqual,DotEqual,360,290,290,,50.0,390,390,{},"{""≐""}",{},"{{""x"", ""≐"", ""y""}}","{""DotEqual"", ""["", ""x"", "","", ""y"", ""]""}","DotEqual[x, y]",Binary,Infix,None,False,
Equal,Equal,360,290,290,50,50.0,390,390,{},"{""=="", """", """"}",{},"{{""expr1"", ""=="", ""expr2""}, {""expr1"", """", ""expr2""}, {""expr1"", """", ""expr2""}}","{""Equal"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Equal[expr1, expr2]",Binary,Infix,None,True,
EqualTilde,EqualTilde,360,290,290,,50.0,390,390,{},"{""≂""}",{},"{{""x"", ""≂"", ""y""}}","{""EqualTilde"", ""["", ""x"", "","", ""y"", ""]""}","EqualTilde[x, y]",Binary,Infix,None,False,
Equilibrium,Equilibrium,360,290,290,,50.0,390,390,{},"{""⇌""}",{},"{{""x"", ""⇌"", ""y""}}","{""Equilibrium"", ""["", ""x"", "","", ""y"", ""]""}","Equilibrium[x, y]",Binary,Infix,None,False,
Greater,Greater,360,290,290,50,50.0,,390,{},"{"">""}",{},"{{""expr1"", "">"", ""expr2""}}","{""Greater"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Greater[expr1, expr2]",Binary,Infix,None,True,
GreaterEqual,GreaterEqual,360,290,290,50,50.0,390,390,{},"{"">="", ""≥""}",{},"{{""expr1"", "">="", ""expr2""}, {""expr1"", ""≥"", ""expr2""}}","{""GreaterEqual"", ""["", ""expr1"", "","", ""expr2"", ""]""}","GreaterEqual[expr1, expr2]",Binary,Infix,None,True,
GreaterEqualLess,GreaterEqualLess,360,290,290,,50.0,390,390,{},"{""⋛""}",{},"{{""x"", ""⋛"", ""y""}}","{""GreaterEqualLess"", ""["", ""x"", "","", ""y"", ""]""}","GreaterEqualLess[x, y]",Binary,Infix,None,False,
GreaterFullEqual,GreaterFullEqual,360,290,290,,50.0,390,390,{},"{""≧""}",{},"{{""x"", ""≧"", ""y""}}","{""GreaterFullEqual"", ""["", ""x"", "","", ""y"", ""]""}","GreaterFullEqual[x, y]",Binary,Infix,None,False,
GreaterGreater,GreaterGreater,360,290,290,,50.0,390,390,{},"{""≫""}",{},"{{""x"", ""≫"", ""y""}}","{""GreaterGreater"", ""["", ""x"", "","", ""y"", ""]""}","GreaterGreater[x, y]",Binary,Infix,None,False,
GreaterLess,GreaterLess,360,290,290,,50.0,390,390,{},"{""≷""}",{},"{{""x"", ""≷"", ""y""}}","{""GreaterLess"", ""["", ""x"", "","", ""y"", ""]""}","GreaterLess[x, y]",Binary,Infix,None,False,
GreaterSlantEqual,GreaterSlantEqual,360,670,290,,50.0,390,390,{},"{""⩾""}",{},"{{""x"", ""⩾"", ""y""}}","{""GreaterEqual"", ""["", ""x"", "","", ""y"", ""]""}","GreaterEqual[x, y]",Binary,Infix,None,False,
GreaterTilde,GreaterTilde,360,290,290,,50.0,390,390,{},"{""≳""}",{},"{{""x"", ""≳"", ""y""}}","{""GreaterTilde"", ""["", ""x"", "","", ""y"", ""]""}","GreaterTilde[x, y]",Binary,Infix,None,False,
HumpDownHump,HumpDownHump,360,290,290,,50.0,390,390,{},"{""≎""}",{},"{{""x"", ""≎"", ""y""}}","{""HumpDownHump"", ""["", ""x"", "","", ""y"", ""]""}","HumpDownHump[x, y]",Binary,Infix,None,False,
HumpEqual,HumpEqual,360,290,290,,50.0,390,390,{},"{""≏""}",{},"{{""x"", ""≏"", ""y""}}","{""HumpEqual"", ""["", ""x"", "","", ""y"", ""]""}","HumpEqual[x, y]",Binary,Infix,None,False,
LeftTriangle,LeftTriangle,360,290,290,,50.0,390,390,{},"{""⊲""}",{},"{{""x"", ""⊲"", ""y""}}","{""LeftTriangle"", ""["", ""x"", "","", ""y"", ""]""}","LeftTriangle[x, y]",Binary,Infix,None,False,
LeftTriangleBar,LeftTriangleBar,360,290,290,,50.0,390,390,{},"{""⧏""}",{},"{{""x"", ""⧏"", ""y""}}","{""LeftTriangleBar"", ""["", ""x"", "","", ""y"", ""]""}","LeftTriangleBar[x, y]",Binary,Infix,None,False,
LeftTriangleEqual,LeftTriangleEqual,360,290,290,,50.0,390,390,{},"{""⊴""}",{},"{{""x"", ""⊴"", ""y""}}","{""LeftTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}","LeftTriangleEqual[x, y]",Binary,Infix,None,False,
Less,Less,360,290,290,50,50.0,,390,{},"{""<""}",{},"{{""expr1"", ""<"", ""expr2""}}","{""Less"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Less[expr1, expr2]",Binary,Infix,None,True,
LessEqual,LessEqual,360,290,290,50,50.0,390,390,{},"{""<="", ""≤""}",{},"{{""expr1"", ""<="", ""expr2""}, {""expr1"", ""≤"", ""expr2""}}","{""LessEqual"", ""["", ""expr1"", "","", ""expr2"", ""]""}","LessEqual[expr1, expr2]",Binary,Infix,None,True,
